Series_Title,Released_Year,Genre,IMDB_Rating,Director,Star1
Hamilton,2020,"Biography, Drama, History",8.6,Thomas Kail,Lin-Manuel Miranda
Gisaengchung,2019,"Comedy, Drama, Thriller",8.6,Bong Joon Ho,Kang-ho Song
Soorarai Pottru,2020,Drama,8.6,Sudha Kongara,Suriya
Joker,2019,"Crime, Drama, Thriller",8.5,Todd Phillips,Joaquin Phoenix
Capharnaüm,2018,Drama,8.4,Nadine Labaki,Zain Al Rafeea
Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",8.4,Bob Persichetti,Peter Ramsey
Avengers: Endgame,2019,"Action, Adventure, Drama",8.4,Anthony Russo,Joe Russo
Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",8.4,Anthony Russo,Joe Russo
1917,2019,"Drama, Thriller, War",8.3,Sam Mendes,Dean-Charles Chapman
Tumbbad,2018,"Drama, Fantasy, Horror",8.3,Rahi Anil Barve,Anand Gandhi
Andhadhun,2018,"Crime, Drama, Music",8.3,Sriram Raghavan,Ayushmann Khurrana
Miracle in cell NO.7,2019,Drama,8.3,Mehmet Ada Öztekin,Aras Bulut Iynemli
Chhichhore,2019,"Comedy, Drama",8.2,Nitesh Tiwari,Sushant Singh Rajput
Uri: The Surgical Strike,2018,"Action, Drama, War",8.2,Aditya Dhar,Vicky Kaushal
K.G.F: Chapter 1,2018,"Action, Drama",8.2,Prashanth Neel,Yash
Green Book,2018,"Biography, Comedy, Drama",8.2,Peter Farrelly,Viggo Mortensen
Klaus,2019,"Animation, Adventure, Comedy",8.2,Sergio Pablos,Carlos Martínez López
Portrait de la jeune fille en feu,2019,"Drama, Romance",8.1,Céline Sciamma,Noémie Merlant
Soul,2020,"Animation, Adventure, Comedy",8.1,Pete Docter,Kemp Powers
Ford v Ferrari,2019,"Action, Biography, Drama",8.1,James Mangold,Matt Damon
Badhaai ho,2018,"Comedy, Drama",8.0,Amit Ravindernath Sharma,Ayushmann Khurrana
Togo,2019,"Adventure, Biography, Drama",8.0,Ericson Core,Willem Dafoe
Gully Boy,2019,"Drama, Music, Romance",8.0,Zoya Akhtar,Vijay Varma
Bohemian Rhapsody,2018,"Biography, Drama, Music",8.0,Bryan Singer,Rami Malek
Knives Out,2019,"Comedy, Crime, Drama",7.9,Rian Johnson,Daniel Craig
Dil Bechara,2020,"Comedy, Drama, Romance",7.9,Mukesh Chhabra,Sushant Singh Rajput
Manbiki kazoku,2018,"Crime, Drama",7.9,Hirokazu Koreeda,Lily Franky
Marriage Story,2019,"Comedy, Drama, Romance",7.9,Noah Baumbach,Adam Driver
Isle of Dogs,2018,"Animation, Adventure, Comedy",7.9,Wes Anderson,Bryan Cranston
Jojo Rabbit,2019,"Comedy, Drama, War",7.9,Taika Waititi,Roman Griffin Davis
The Irishman,2019,"Biography, Crime, Drama",7.9,Martin Scorsese,Robert De Niro
The Gentlemen,2019,"Action, Comedy, Crime",7.8,Guy Ritchie,Matthew McConaughey
Raazi,2018,"Action, Drama, Thriller",7.8,Meghna Gulzar,Alia Bhatt
Sound of Metal,2019,"Drama, Music",7.8,Darius Marder,Riz Ahmed
Little Women,2019,"Drama, Romance",7.8,Greta Gerwig,Saoirse Ronan
Toy Story 4,2019,"Animation, Adventure, Comedy",7.8,Josh Cooley,Tom Hanks
The Trial of the Chicago 7,2020,"Drama, History, Thriller",7.8,Aaron Sorkin,Eddie Redmayne
Druk,2020,"Comedy, Drama",7.8,Thomas Vinterberg,Mads Mikkelsen
Roma,2018,Drama,7.7,Alfonso Cuarón,Yalitza Aparicio
Deadpool 2,2018,"Action, Adventure, Comedy",7.7,David Leitch,Ryan Reynolds
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",7.7,Christopher McQuarrie,Tom Cruise
Dark Waters,2019,"Biography, Drama, History",7.6,Todd Haynes,Mark Ruffalo
Searching,2018,"Drama, Mystery, Thriller",7.6,Aneesh Chaganty,John Cho
Once Upon a Time... in Hollywood,2019,"Comedy, Drama",7.6,Quentin Tarantino,Leonardo DiCaprio
Just Mercy,2019,"Biography, Crime, Drama",7.6,Destin Daniel Cretton,Michael B. Jordan
The Peanut Butter Falcon,2019,"Adventure, Comedy, Drama",7.6,Tyler Nilson,Michael Schwartz
Incredibles 2,2018,"Animation, Action, Adventure",7.6,Brad Bird,Craig T. Nelson
A Star Is Born,2018,"Drama, Music, Romance",7.6,Bradley Cooper,Lady Gaga
